year,geography,asian_nh,black_nh
2009-2011,San Diego,6.742,8.776
2012-2014,San Diego,6.915,8.381
2015-2017,San Diego,7.393,10.86
2000-2002,San Francisco,7.29,10.41
2003-2005,San Francisco,7.292,8.013
2006-2008,San Francisco,7.498,12.49
2009-2011,San Francisco,8.43,NA
2012-2014,San Francisco,4.988,7.791
2015-2017,San Francisco,6.821,10.73
2000-2002,San Joaquin,8.385,NA
2003-2005,San Joaquin,NA,NA
2006-2008,San Joaquin,7.876,NA
2009-2011,San Joaquin,7.689,NA
2012-2014,San Joaquin,8.036,NA
2015-2017,San Joaquin,7.622,NA
2000-2002,San Luis Obispo,NA,NA
2003-2005,San Luis Obispo,NA,NA
2006-2008,San Luis Obispo,NA,NA
2009-2011,San Luis Obispo,NA,NA
2012-2014,San Luis Obispo,NA,NA
2015-2017,San Luis Obispo,NA,NA
2000-2002,San Mateo,3.133,NA
2003-2005,San Mateo,6.13,NA
2006-2008,San Mateo,4.556,NA
2009-2011,San Mateo,3.749,NA
2012-2014,San Mateo,4.239,NA
2015-2017,San Mateo,5.423,NA
2000-2002,Santa Barbara,NA,NA
2003-2005,Santa Barbara,NA,NA
2006-2008,Santa Barbara,NA,NA
2009-2011,Santa Barbara,NA,NA
2012-2014,Santa Barbara,NA,NA
2015-2017,Santa Barbara,NA,NA
2000-2002,Santa Clara,4.104,NA
2003-2005,Santa Clara,3.789,NA
2006-2008,Santa Clara,4.403,10.85
2009-2011,Santa Clara,4.737,NA
2012-2014,Santa Clara,4.763,NA
2015-2017,Santa Clara,4.422,NA
2000-2002,Santa Cruz,NA,NA
2003-2005,Santa Cruz,NA,NA
2006-2008,Santa Cruz,NA,NA
2009-2011,Santa Cruz,NA,NA
2012-2014,Santa Cruz,NA,NA
2015-2017,Santa Cruz,NA,NA
2000-2002,Shasta,NA,NA
2003-2005,Shasta,NA,NA
2006-2008,Shasta,NA,NA
2009-2011,Shasta,NA,NA
2012-2014,Shasta,NA,NA
2015-2017,Shasta,NA,NA
2000-2002,Siskiyou,NA,NA
2003-2005,Siskiyou,NA,NA
2006-2008,Siskiyou,NA,NA
2009-2011,Siskiyou,NA,NA
2012-2014,Siskiyou,NA,NA
2015-2017,Siskiyou,NA,NA
2000-2002,Solano,NA,6.786
2003-2005,Solano,NA,NA
2006-2008,Solano,NA,7.215
2009-2011,Solano,7.37,6.709
2012-2014,Solano,7.087,9.523
2015-2017,Solano,7.274,NA
2000-2002,Sonoma,NA,NA
2003-2005,Sonoma,NA,NA
2006-2008,Sonoma,NA,NA
2009-2011,Sonoma,NA,NA
2012-2014,Sonoma,NA,NA
2015-2017,Sonoma,NA,NA
2000-2002,Stanislaus,NA,NA
2003-2005,Stanislaus,NA,NA
2006-2008,Stanislaus,NA,NA
2009-2011,Stanislaus,NA,NA
2012-2014,Stanislaus,NA,NA
2015-2017,Stanislaus,NA,NA
2000-2002,Sutter,NA,NA
2003-2005,Sutter,NA,NA
2006-2008,Sutter,NA,NA
2009-2011,Sutter,NA,NA
2012-2014,Sutter,NA,NA
2015-2017,Sutter,NA,NA
2000-2002,Tehama,NA,NA
2006-2008,Tehama,NA,NA
2009-2011,Tehama,NA,NA
2012-2014,Tehama,NA,NA
2015-2017,Tehama,NA,NA
2003-2005,Trinity,NA,NA
2006-2008,Trinity,NA,NA
2015-2017,Trinity,NA,NA
2000-2002,Tulare,NA,NA
2003-2005,Tulare,NA,NA
2006-2008,Tulare,NA,NA
2009-2011,Tulare,NA,NA
2012-2014,Tulare,NA,NA
2015-2017,Tulare,NA,NA
2000-2002,Tuolumne,NA,NA
2003-2005,Tuolumne,NA,NA
2009-2011,Tuolumne,NA,NA
2015-2017,Tuolumne,NA,NA
2000-2002,Ventura,NA,NA
2003-2005,Ventura,NA,NA
2006-2008,Ventura,NA,NA
2009-2011,Ventura,NA,NA
2012-2014,Ventura,9.006,NA
